#      k             P0                      Nk
    0.006298 31746.886809            19
    0.010799 43256.031751           128
    0.015432 42714.661951           314
    0.020148 45951.052995           584
    0.025065 42705.166358          1058
    0.030276 37215.433599          1640
    0.035198 32910.494282          2000
    0.040116 29348.637004          2966
    0.045138 26205.140568          3584
    0.050065 24420.952885          4586
    0.055121 21121.895383          5696
    0.060060 19963.908956          6464
    0.065047 19163.939527          8154
    0.070078 17818.608180          9104
    0.075059 16493.796098         10754
    0.080034 15056.514833         11948
    0.085018 13851.691191         13952
    0.090028 12529.337452         15434
    0.095047 11636.898023         17552
    0.100050 10543.639252         19106
    0.105032  9535.950297         21320
    0.110012  9083.510018         23216
    0.115010  8532.477105         25874
    0.120050  8055.819612         28124
    0.125037  7721.106951         30210
    0.130026  7351.287427         32984
    0.135030  7012.965842         35642
    0.140006  6616.121002         37880
    0.145013  6295.229411         41672
    0.150026  5786.883410         43898
    0.155030  5398.577618         47312
    0.159995  5074.094196         49454
    0.165019  4815.499421         54800
    0.170046  4595.797011         56192
    0.175029  4374.698541         60674
    0.180030  4178.074692         63392
    0.185015  4008.875025         67698
    0.190036  3851.456115         71600
    0.195032  3668.723326         74696
